Routes,LineType,DayofWeek,Boardings,Period,Period_date,FID
72,Core,Weekday,2728,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,1
73,Core,Weekday,1920,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,2
76,Null,Weekday,17,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,3
77,Core,Weekday,1791,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,4
81,Local,Weekday,3012,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,5
82,Local,Weekday,1419,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,6
85,Null,Weekday,1028,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,7
88,Community,Weekday,365,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,8
89,Local,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,9
101,Express,Weekday,92,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,10
102,Express,Weekday,126,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,11
103,Express,Weekday,100,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,12
104,Express,Weekday,75,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,13
120,Express,Weekday,67,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,14
121,Express,Weekday,153,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,15
122,Express,Weekday,33,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,16
140,Express,Weekday,130,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,17
141,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,18
168,Express,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,19
180,Express,Weekday,1489,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,20
181,Express,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,21
182,Express,Weekday,88,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,22
183,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,23
185,Express,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,24
200,Other,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,25
201,Local,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,26
202,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,27
203,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,28
231,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,29
251,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,30
